slug,date,open,high,low,close,currency
EUR/INR,01/12/2003,55.004002,55.014999,54.466999,54.700001,INR
EUR/INR,02/12/2003,54.662998,55.243999,54.359001,55.139,INR
EUR/INR,03/12/2003,55.162998,55.305,54.881001,55.181,INR
EUR/INR,04/12/2003,55.181999,55.325001,54.772999,55.000999,INR
EUR/INR,05/12/2003,55.02,55.370998,54.880001,55.370998,INR
EUR/INR,08/12/2003,55.313999,55.653,55.214001,55.563999,INR
EUR/INR,09/12/2003,55.556,55.823002,55.386002,55.653999,INR
EUR/INR,10/12/2003,55.630001,55.688999,55.223,55.291,INR
EUR/INR,11/12/2003,55.308998,55.596001,55.016998,55.541,INR
EUR/INR,12/12/2003,55.575001,55.919998,55.462002,55.779999,INR
EUR/INR,15/12/2003,55.583,56.035999,55.398998,55.994999,INR
EUR/INR,16/12/2003,55.971001,56.250999,55.773998,56.025002,INR
EUR/INR,17/12/2003,56.014999,56.383999,55.813,56.264,INR
EUR/INR,18/12/2003,56.275002,56.553001,56.153,56.441002,INR
EUR/INR,19/12/2003,56.416,56.567001,55.988998,56.169998,INR
EUR/INR,22/12/2003,56.118,56.636002,56.118,56.346001,INR
EUR/INR,23/12/2003,56.333,57.519001,56.154999,56.265999,INR
EUR/INR,24/12/2003,56.297001,56.794998,56.275002,56.604,INR
EUR/INR,25/12/2003,56.59,56.631001,56.410999,56.584999,INR
EUR/INR,26/12/2003,56.561001,56.797001,56.449001,56.455002,INR
EUR/INR,29/12/2003,56.757999,56.98,56.584999,56.855,INR
EUR/INR,30/12/2003,56.876999,57.139999,56.686001,57.082001,INR
EUR/INR,31/12/2003,57.075001,57.564999,56.991001,57.313,INR
EUR/INR,01/01/2004,57.386002,57.397999,56.855,57.279999,INR
EUR/INR,02/01/2004,57.279999,57.641998,57.021999,57.308998,INR
EUR/INR,05/01/2004,57.543999,57.844002,57.481998,57.668999,INR
EUR/INR,06/01/2004,57.693001,58.325001,57.605999,57.938999,INR
EUR/INR,07/01/2004,57.972,58.085999,57.289001,57.386002,INR
EUR/INR,08/01/2004,57.352001,58.122002,57.044998,58.077,INR
EUR/INR,09/01/2004,58.063,58.397999,57.637001,58.457001,INR
EUR/INR,12/01/2004,58.339001,58.532001,57.756001,57.762001,INR
EUR/INR,13/01/2004,57.785999,58.049,57.580002,57.93,INR
EUR/INR,14/01/2004,57.889999,57.889999,56.290001,57.344002,INR
EUR/INR,15/01/2004,57.330002,57.535,56.967999,57.151001,INR
EUR/INR,16/01/2004,57.115002,57.231998,55.999001,56.217999,INR
